order_date,sales,profit,category,sub_category,region,segment,quantity,discount
11/8/2016,261.96,41.9136,Furniture,Bookcases,South,Consumer,2,0
11/8/2016,731.94,219.582,Furniture,Chairs,South,Consumer,3,0
6/12/2016,14.62,6.8714,Office Supplies,Labels,West,Corporate,2,0
10/11/2015,957.5775,-383.031,Furniture,Tables,South,Consumer,5,0.45
10/11/2015,22.368,2.5164,Office Supplies,Storage,South,Consumer,2,0.2
6/9/2014,48.86,14.1694,Furniture,Furnishings,West,Consumer,7,0
6/9/2014,7.28,1.9656,Office Supplies,Art,West,Consumer,4,0
6/9/2014,907.152,90.7152,Technology,Phones,West,Consumer,6,0.2
6/9/2014,18.504,5.7825,Office Supplies,Binders,West,Consumer,3,0.2
6/9/2014,114.9,34.47,Office Supplies,Appliances,West,Consumer,5,0
6/9/2014,1706.184,85.3092,Furniture,Tables,West,Consumer,9,0.2
6/9/2014,911.424,68.3568,Technology,Phones,West,Consumer,4,0.2
4/15/2017,15.552,5.4432,Office Supplies,Paper,South,Consumer,3,0.2
12/5/2016,407.976,132.5922,Office Supplies,Binders,West,Consumer,3,0.2
11/22/2015,68.81,-123.858,Office Supplies,Appliances,Central,Home Office,5,0.8
11/22/2015,2.544,-3.816,Office Supplies,Binders,Central,Home Office,3,0.8
11/11/2014,665.88,13.3176,Office Supplies,Storage,Central,Consumer,6,0
5/13/2014,55.5,9.99,Office Supplies,Storage,West,Consumer,2,0
8/27/2014,8.56,2.4824,Office Supplies,Art,West,Consumer,2,0
8/27/2014,213.48,16.011,Technology,Phones,West,Consumer,3,0.2
8/27/2014,22.72,7.384,Office Supplies,Binders,West,Consumer,4,0.2
12/9/2016,19.46,5.0596,Office Supplies,Art,Central,Corporate,7,0
12/9/2016,60.34,15.6884,Office Supplies,Appliances,Central,Corporate,7,0
7/16/2017,71.372,-1.0196,Furniture,Chairs,East,Consumer,2,0.3
9/25/2015,1044.63,240.2649,Furniture,Tables,West,Consumer,3,0
1/16/2016,11.648,4.2224,Office Supplies,Binders,West,Consumer,2,0.2
1/16/2016,90.57,11.7741,Technology,Accessories,West,Consumer,3,0
9/17/2015,3083.43,-1665.0522,Furniture,Bookcases,East,Consumer,7,0.5
9/17/2015,9.618,-7.0532,Office Supplies,Binders,East,Consumer,2,0.7
9/17/2015,124.2,15.525,Furniture,Furnishings,East,Consumer,3,0.2
9/17/2015,3.264,1.1016,Office Supplies,Envelopes,East,Consumer,2,0.2
9/17/2015,86.304,9.7092,Office Supplies,Art,East,Consumer,6,0.2
9/17/2015,6.858,-5.715,Office Supplies,Binders,East,Consumer,6,0.7
9/17/2015,15.76,3.546,Office Supplies,Art,East,Consumer,2,0.2
10/19/2017,29.472,9.9468,Office Supplies,Paper,Central,Home Office,3,0.2
12/8/2016,1097.544,123.4737,Technology,Phones,Central,Corporate,7,0.2
12/8/2016,190.92,-147.963,Furniture,Furnishings,Central,Corporate,5,0.6
12/27/2015,113.328,35.415,Office Supplies,Envelopes,Central,Home Office,9,0.2
12/27/2015,532.3992,-46.9764,Furniture,Bookcases,Central,Home Office,3,0.32
